product_id,product_name,category,stock_level,reorder_point,daily_sales_volume,unit_price
1,Dish Rack,Kitchen,11850,24032,8884,5734.16
2,Nutty Granola Clusters,Food - Cereal,48646,18213,1761,3240.33
3,Vacuum Sealer Machine,Kitchen,74850,45047,5741,4578.01
4,Cacao Nibs,Food - Baking,19504,39416,3426,465.3
5,Compact Pop-Up Tent,Outdoor,61838,36893,4498,3976.17
6,Chicken Breasts,Food - Meat,63776,39145,6567,3366.43
7,Fruit and Nut Energy Bites,Food - Snacks,2650,38307,2393,2732.33
8,Essential Oil Roller Bottles,Health,94841,1076,764,2893.16
9,Coffee Capsule Dispenser,Kitchen,73506,9682,7710,4209.4
10,Handheld Vacuum,Home Appliances,2230,35858,5635,5728.23
11,Cranberry Almond Cookies,Food - Bakery,10112,44515,1344,1164.89
12,Air Fryer Oven,Kitchen,99611,14433,7159,8657.97
13,Herbed Chicken Breast,Food - Meat,79964,34614,9961,4456.19
14,High-Speed HDMI Cable,Electronics,47977,25088,7003,2979.95
15,Compact Portable Grill,Outdoor,24565,33675,4543,3987.62
16,Canned Coconut Milk,Food - Canned Goods,96050,41177,468,7239.84
17,Savory Breakfast Sausage,Food - Meats,14308,35066,1323,367.6
18,Chic Ankle Strap Heels,Clothing - Shoes,71784,21574,7867,8212.65
19,Cinnamon Spiced Almonds,Food - Snacks,95900,16246,2438,144.19
20,Mediterranean Couscous Salad,Food - Salads,15111,4142,3056,7723.12
21,Garlic Parmesan Roasted Nuts,Food - Nuts,32903,6460,9158,1766.16
22,Portable Pet Pooper Scooper,Pets,19520,30581,2206,3635.82
23,Tandoori Chicken Skewers,Food - Meat,62382,33742,4118,1801.63
24,Set of Decorative Storage Bins,Home,90755,18651,8331,3060.49
25,Silicone Baking Mat Set,Kitchen,48380,43312,6440,3517.75
26,Spicy Snack Mix,Food - Snacks,10332,39129,4113,2396.57
27,Ready-to-Eat Chili,Food - Soups,58045,19855,1184,488.91
28,Jennifer's Amazing Lip Balm Kit,Beauty,14066,27475,6414,1692.51
29,Italian Breadsticks,Food - Bakery,78763,39848,2076,7378.0
30,Portable Bluetooth Speaker,Audio,92915,26728,9087,9418.78
31,Rainbow Veggie Chips,Food - Snacks,38077,32321,4991,3020.77
32,Vegan Mayonnaise,Food - Condiments,94217,10898,6412,3824.91
33,Plant Pot Drip Trays,Garden,95307,41669,647,517.15
34,Natural Peanut Butter,Food - Spreads,37781,13427,5280,4276.71
35,Almond Joy Snack Bars,Food - Snacks,19868,26945,7876,902.46
36,Maple Oatmeal,Food - Breakfast,66194,19872,4582,1523.21
37,Baked Mac and Cheese,Food - Frozen Foods,59106,12,6224,2729.09
38,Vegetable Quinoa Bowl,Food - Frozen Meals,13347,3679,4865,6996.5
39,Vegetarian Sausage Links,Food - Meat Substitutes,59093,49450,1312,5707.74
40,Wall Calendar,Home,85574,30302,6416,8314.51
41,Savory Trail Mix,Food - Snacks,97836,47164,654,8336.89
42,Children's Backpack,Accessories,52854,30409,4809,2697.02
43,Pear and Gorgonzola Salad,Food - Salads,92249,28467,1255,8527.72
44,Infrared Thermometer,Health,72308,26692,6418,6546.97
45,Garden Hose Reel,Garden,83101,46929,7222,5199.68
46,Car Vacuum,Automotive,17783,40405,9680,1103.28
47,Magnet Travel Fridge Magnets,Accessories,23473,36024,6594,9592.52
48,Portable UV Sterilizer,Health,32065,46226,2393,4050.05
49,LED Under Cabinet Lighting,Home,96040,32396,9502,8154.08
50,Vegetable Samosas,Food - Frozen,50801,36420,7869,78.83
51,Tahini,Food - Condiments,80559,14878,7661,1847.45
52,Pepperoni Pizza Rolls,Food - Snacks,45758,15855,220,4213.09
53,Raspberry Lemonade Mix,Food - Beverages,38079,42457,214,112.63
54,Vegetable Lasagna,Food - Frozen Foods,53404,16639,8704,8960.2
55,Heat-Resistant Silicone Mat,Kitchen,73676,6263,9107,8774.6
56,Classic Minestrone Soup,Food - Soups,18901,12968,5533,5802.92
57,Tuna Fish (canned),Food - Canned Goods,48507,46179,7842,4362.71
58,LED Canopy Lights,Outdoor,91407,28894,9693,7783.92
59,Ceramic Knife Set,Kitchen,73479,21924,7992,6820.3
60,Kids' Outdoor Explorer Kit,Toys,88541,33067,4606,4995.3
61,Smart Light Bulbs,Smart Home,37702,31647,8473,8871.09
62,Chocolate Chip Cookie Dough,Food - Baking,47483,49411,4239,6213.08
63,DIY Candle Kit,Crafts,49902,27972,6740,2630.72
64,Spicy Italian Sausage,Food - Meat & Seafood,48705,45722,5871,2061.4
65,Essential Oil Diffuser,Health,80303,36742,6723,9950.96
66,Sweet and Sour Sauce,Food - Condiments,61406,16714,2567,9500.68
